model,step,nll_val_avg,nll_val_dim1,nll_val_dim2,nll_val_dim3,nll_val_dim4,nll_val_dim5,nll_val_dim6
bidirectional,11000,-1.1618756155172985,-2.196983575820923,-1.487237572669983,-1.129787564277649,-0.8228258490562439,-0.7104842662811279,-0.6239348649978638
bidirectional,11100,-1.1374667882919312,-2.2778139114379883,-1.2699048519134521,-1.025288462638855,-0.826141893863678,-0.8183208107948303,-0.6073307991027832
bidirectional,11200,-1.0669905145963032,-1.6478791236877441,-1.3379929065704346,-1.1043978929519653,-0.8588377833366394,-0.8601357340812683,-0.5926996469497681
bidirectional,11300,-1.1885738968849182,-2.1788296699523926,-1.5067728757858276,-1.1520241498947144,-0.8507341742515564,-0.8198156952857971,-0.6232668161392212
bidirectional,11400,-1.1770709156990051,-2.287177801132202,-1.4362976551055908,-1.0638923645019531,-0.8011370897293091,-0.8489653468132019,-0.6249552369117737
bidirectional,11500,-1.0946919123331706,-2.0224740505218506,-1.376855492591858,-1.1528313159942627,-0.7454302310943604,-0.8350442051887512,-0.4355161786079407
bidirectional,11600,-1.1386908690134685,-2.083308219909668,-1.4681353569030762,-1.0602713823318481,-0.8297263979911804,-0.8022734522819519,-0.5884304046630859
bidirectional,11700,-1.151347021261851,-2.0995655059814453,-1.5097910165786743,-1.1317569017410278,-0.8259329795837402,-0.7336254715919495,-0.6074102520942688
bidirectional,11800,-0.9622985422611237,-1.7972609996795654,-0.9940913319587708,-0.9726128578186035,-0.7271840572357178,-0.799483060836792,-0.4831589460372925
bidirectional,11900,-1.125089704990387,-2.2220137119293213,-1.3403624296188354,-0.956383466720581,-0.8253776431083679,-0.8498952388763428,-0.5565057396888733
bidirectional,12000,-1.0964728196461995,-2.1610214710235596,-1.3500046730041504,-0.9559968113899231,-0.8370819687843323,-0.7574176788330078,-0.5173143148422241
bidirectional,12100,-1.0489083329836528,-1.6104506254196167,-1.312462568283081,-1.0911601781845093,-0.8660221099853516,-0.8532177805900574,-0.5601367354393005
bidirectional,12200,-1.1321988205115001,-2.1141180992126465,-1.457559585571289,-1.006822943687439,-0.8546899557113647,-0.7627593874931335,-0.5972429513931274
bidirectional,12300,-1.163209428389867,-2.099721908569336,-1.5152591466903687,-1.1389384269714355,-0.8041776418685913,-0.8329253196716309,-0.5882341265678406
